Starting price: $10.00
Day 1, price is: $10.59
Day 248, price is: $386.27
Day 249, price is: $371.77
Day 250, price is: $368.12
Day 251, price is: $356.37
Day 252, price is: $382.39
Day 253, price is: $370.41
Day 254, price is: $367.33
Day 255, price is: $388.29
Day 256, price is: $408.91
Day 257, price is: $397.78
Day 258, price is: $378.28
Day 259, price is: $396.34
Day 260, price is: $407.73
Day 261, price is: $438.10
Day 262, price is: $435.59
Day 263, price is: $438.08
Day 264, price is: $418.22
Day 265, price is: $399.01
Day 266, price is: $425.14
Day 267, price is: $446.64
Day 268, price is: $466.31
Day 269, price is: $447.86
Day 270, price is: $461.67
Day 271, price is: $465.36
Day 272, price is: $480.94
Day 273, price is: $499.64
Day 274, price is: $516.07
Day 275, price is: $512.79
Day 276, price is: $503.99
Day 277, price is: $486.35
Day 278, price is: $492.64
Day 279, price is: $514.38
Day 280, price is: $560.49
Day 281, price is: $597.77
Day 282, price is: $611.33
Day 283, price is: $649.74
Day 284, price is: $634.51
Day 285, price is: $648.85
Day 286, price is: $618.67
Day 287, price is: $668.96
Day 288, price is: $695.89
Day 289, price is: $736.52
Day 290, price is: $707.63
Day 291, price is: $723.80
Day 292, price is: $784.17
Day 293, price is: $765.40
Day 294, price is: $750.91
Day 295, price is: $781.25
Day 296, price is: $753.14
Day 297, price is: $757.26
Day 298, price is: $735.22
Day 299, price is: $771.13
Day 300, price is: $819.69
Day 301, price is: $899.63
Day 302, price is: $869.63
Day 303, price is: $909.61
Day 304, price is: $892.66
Day 305, price is: $969.52
Day 306, price is: $940.13
Day 307, price is: $950.17
Day 308, price is: $994.84
Day 309, price is: $1,063.02
